school_name,curriculum,dsib_rating,area,tuition_nursery_ecc,tuition_fs1,tuition_fs2,tuition_primary,tuition_secondary_y7_9,tuition_gcse_y10_11,tuition_sixth_form_y12_13,fee_currency,fee_period,khda_lowest_fee,khda_highest_fee,khda_average_fee,transport_fee_min_aed,transport_fee_max_aed,source_url,notes
GEMS Winchester School,UK,Good,dubai land,,20370.0,20370.0,26492.0,32615.0,35842.0,38403.0,AED,Annual,19902.0,38403.0,28323.0,5360.0,7620.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4405&CenterID=688,
Collegiate International School,American,Good,umm suqeim third,43373.0,,,59597.0,65979.0,70630.0,70630.0,AED,Annual,38572.0,70630.0,56466.0,9000.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4404&CenterID=643,
The Indian International School (Dso Branch),Indian,Good,dubai silicon oasis,21000.0,,,11292.0,13796.0,17865.0,19900.0,AED,Annual,9679.0,21000.0,12570.0,4300.0,10000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4414&CenterID=655,
Springdales School L.L.C,Indian,Good,al qouz fourth,20312.0,,,28210.0,30144.0,46350.0,32960.0,AED,Annual,19378.0,46350.0,29603.0,,,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4425&CenterID=1247,
Star International School (Branch),UK,Good,mirdif,,34179.0,35014.0,52706.0,59489.0,68142.0,73508.0,AED,Annual,33394.0,73508.0,52425.0,6500.0,11000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4282&CenterID=346,
The Indian Academy,Indian,Good,muhaisanah fourth,14410.0,,,20414.0,22080.0,23795.0,23795.0,AED,Annual,11732.0,23795.0,17838.0,5500.0,9500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4413&CenterID=811,
Next Generation School L.L.C,American,Good,al barsha first,31607.0,,,41589.0,44915.0,47133.0,49376.0,AED,Annual,28714.0,47133.0,39424.0,3400.0,8200.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5474&CenterID=1833,
International School of Creative Science Nad Alshiba L.L.C,UK,Good,nadd al shiba third,,34287.0,34287.0,45034.0,53734.0,59875.0,65504.0,AED,Annual,33500.0,65504.0,48159.0,5200.0,8300.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5483&CenterID=1851,
Smart Vision School,UK,Good,al barsha second,,33282.0,39961.0,59997.0,70016.0,77806.0,77806.0,AED,Annual,30892.0,77806.0,56936.0,7000.0,9500.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=5479&CenterID=1838,
Dove Green Private School L.L.C,UK,Good,dubai investment park first,,42000.0,42000.0,48000.0,55000.0,60000.0,,AED,Annual,42000.0,60000.0,48750.0,7500.0,9000.0,https://web.khda.gov.ae/en/Education-Directory/Schools/School-Details?Id=4444&CenterID=2248,
